"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a beginner learning API automation
    I want to understand what APIs are and how to test them
    So that I can test both websites and their backend services","4303","Checking response times and performance","","Tue Oct 07 13:00:53 CEST 2025","passed","Tue Oct 07 13:00:58 CEST 2025","","Checking response times and performance","",""
"As a beginner learning web automation
    I want to understand how to wait for things to happen on a webpage
    So that I can handle slow-loading websites and dynamic content","9655","Waiting for text to change","","Tue Oct 07 12:59:08 CEST 2025","passed","Tue Oct 07 12:59:18 CEST 2025","","Waiting for text to change","",""
"As a beginner learning web automation
    I want to understand how to navigate to websites
    So that I can start my automation journey","1945","Opening a website for the first time","","Tue Oct 07 12:58:06 CEST 2025","passed","Tue Oct 07 12:58:08 CEST 2025","","Opening a website for the first time","",""
"As a beginner learning web automation
    I want to understand how to find elements on a webpage
    So that I can interact with different parts of a website","1382","Finding buttons and links","","Tue Oct 07 12:58:23 CEST 2025","passed","Tue Oct 07 12:58:25 CEST 2025","","Finding buttons and links","",""
"As a beginner learning API automation
    I want to understand different ways to interact with APIs
    So that I can test creating, updating, and deleting data","1074","Updating data with PUT requests","","Tue Oct 07 13:01:09 CEST 2025","passed","Tue Oct 07 13:01:10 CEST 2025","","Updating data with PUT requests","",""
"As an advanced learner of API automation
    I want to test APIs with authentication and complex scenarios
    So that I can test real-world API applications","1823","Testing APIs with authentication headers","","Tue Oct 07 13:01:24 CEST 2025","passed","Tue Oct 07 13:01:26 CEST 2025","","Testing APIs with authentication headers","",""
"As a beginner learning API automation
    I want to understand what APIs are and how to test them
    So that I can test both websites and their backend services","10649","Testing different types of data","","Tue Oct 07 13:00:58 CEST 2025","passed","Tue Oct 07 13:01:08 CEST 2025","","Testing different types of data","",""
"As a beginner learning web automation
    I want to understand how to wait for things to happen on a webpage
    So that I can handle slow-loading websites and dynamic content","11331","Waiting for elements to appear","","Tue Oct 07 12:58:57 CEST 2025","passed","Tue Oct 07 12:59:08 CEST 2025","","Waiting for elements to appear","",""
"As a beginner learning web automation
    I want to understand how to find elements on a webpage
    So that I can interact with different parts of a website","1987","Finding elements by their HTML properties","","Tue Oct 07 12:58:25 CEST 2025","passed","Tue Oct 07 12:58:27 CEST 2025","","Finding elements by their HTML properties","",""
"As an advanced learner of API automation
    I want to test APIs with authentication and complex scenarios
    So that I can test real-world API applications","1363","Testing input validation and error handling","","Tue Oct 07 13:01:26 CEST 2025","passed","Tue Oct 07 13:01:28 CEST 2025","","Testing input validation and error handling","",""
"As a beginner who has learned the basics
    I want to practice with real websites and advanced scenarios
    So that I can apply my knowledge to practical situations","3746","Testing a login form (with demo credentials)","","Tue Oct 07 12:59:49 CEST 2025","failed","Tue Oct 07 12:59:53 CEST 2025","","Testing a login form (with demo credentials)","",""
